legId,route,flightDate,top_drivers_totalFare,top_drivers_seatsRemaining
a2a80800af6b763c6b0728a7728e6d9e,DTW-ORD,2022-04-25,this route's typical pattern (-0.37); trip distance (-0.23),airline (+0.17); basic economy fare type (-0.16)
2461589e0ef4b342ae94e3fbce71a979,CLT-BOS,2022-05-05,how far out this is from departure (+0.29); this route's typical pattern (+0.18),airline (-0.34); how far out this is from departure (+0.23)
3a26575593862de8901315315520ba35,CLT-EWR,2022-04-25,day-of-week pattern (-0.22); trip distance (-0.20),airline (+0.39); basic economy fare type (-0.13)
72ad7827098e6b1ebf816fd47edd9212,DFW-LGA,2022-04-25,day-of-week pattern (-0.21); cabin/itinerary complexity (-0.16),airline (+0.43); this route's typical pattern (-0.15)
03075d428d2701ac652e58a6de4e1ed0,DEN-LAX,2022-05-01,airline (+1.12); this route's typical pattern (-0.71),this route's typical pattern (-0.29); how far out this is from departure (+0.19)
81483cd05c7f26d1b7505ef81e23d5a9,EWR-CLT,2022-04-25,this route's typical pattern (-0.18); trip distance (-0.16),how far out this is from departure (+0.21); basic economy fare type (-0.15)
c89b838ed4f19d9d8d83b2c873418da9,LGA-PHL,2022-05-05,basic economy fare type (-0.62); how far out this is from departure (-0.07),basic economy fare type (+0.59); airline (+0.22)
af61b0d340dea982ac0a7eff3c0f4c19,CLT-LGA,2022-04-19,airline (-0.34); this route's typical pattern (-0.22),this route's typical pattern (+0.32); basic economy fare type (-0.12)
39d37fcc1c984c1ef2e0a10e9a5f5993,SFO-PHL,2022-04-19,airline (+1.03); trip distance (-0.18),basic economy fare type (-0.15); airline (-0.12)
7fd064ef14e01c2ff033b3f370deabd6,SFO-DFW,2022-04-27,this route's typical pattern (-0.28); airline (-0.20),airline (-0.20); basic economy fare type (-0.19)
34f20b092255ead863faf90f5c1467ca,SFO-CLT,2022-04-25,this route's typical pattern (+0.60); airline (-0.23),this route's typical pattern (-0.22); basic economy fare type (-0.14)
06f91c474387b39973e6c2dff1133f49,ATL-ORD,2022-04-26,this route's typical pattern (-0.37); airline (-0.36),basic economy fare type (-0.14); this route's typical pattern (-0.13)
67a86cab26e9bf262c9d9db22a99ecfe,EWR-LAX,2022-04-22,basic economy fare type (-0.68); this route's typical pattern (+0.13),basic economy fare type (+0.91); airline (+0.24)
f6cbdf79face6e36db25339b2df5089f,IAD-ORD,2022-05-02,airline (-0.22); day-of-week pattern (-0.14),airline (-0.21); basic economy fare type (-0.16)
30a772899659bf7f9a32e1d69e02f25c,OAK-DTW,2022-04-21,cabin/itinerary complexity (+0.66); airline (+0.27),basic economy fare type (-0.17); this route's typical pattern (-0.13)
4450775ce2b22a9b9cd63e3aa96f6730,OAK-DTW,2022-04-26,airline (+0.85); basic economy fare type (+0.15),this route's typical pattern (-0.18); basic economy fare type (-0.14)
d65b10d65329318b0bacc515d1e5adbe,CLT-LAX,2022-05-02,airline (-0.23); day-of-week pattern (-0.19),how far out this is from departure (+0.24); airline (+0.15)
28b64201aa14f49abaac5fd0e12ae445,ORD-LGA,2022-04-19,this route's typical pattern (-0.47); airline (-0.29),this route's typical pattern (+0.26); how far out this is from departure (+0.13)
f4f475f322ed8f56d930a4b66552346b,DTW-SFO,2022-04-27,airline (+0.35); this route's typical pattern (+0.35),airline (+0.30); basic economy fare type (-0.13)
280ed0aece16b017927802f6ede7ab4f,CLT-ATL,2022-04-23,airline (-0.30); this route's typical pattern (+0.17),this route's typical pattern (+0.26); basic economy fare type (-0.12)
9c72ac1f336173ef6f126bdd271a1072,ORD-DTW,2022-05-04,this route's typical pattern (-0.37); airline (+0.19),this route's typical pattern (-0.27); airline (+0.15)
0bbb257db0956b17d8712d2d5fbe2420,CLT-SFO,2022-05-02,this route's typical pattern (+0.54); airline (+0.17),airline (-0.35); basic economy fare type (-0.15)
bce3f40330c04f6e3f56a92fc679ff70,DFW-PHL,2022-04-18,airline (-0.43); this route's typical pattern (+0.20),airline (-1.35); basic economy fare type (-0.17)
6774b9b12a7ff8f8709d24417a20276f,SFO-JFK,2022-04-29,basic economy fare type (-1.03); airline (+0.64),basic economy fare type (+0.92); airline (-0.15)
90e126201a2228e7c0d8b70211580725,LAX-DEN,2022-04-20,trip distance (+0.14); airline (-0.12),this route's typical pattern (+0.27); how far out this is from departure (+0.18)
03f8d38e8206f97ef4338192a442f938,MIA-SFO,2022-04-29,basic economy fare type (-1.13); this route's typical pattern (+0.35),basic economy fare type (+1.02); trip distance (+0.17)
9dc28995a7f2685842ea74d74834071d,ATL-PHL,2022-04-24,this route's typical pattern (+0.33); day-of-week pattern (+0.30),this route's typical pattern (-0.40); basic economy fare type (-0.17)
e8244fa2073321a65b2597f59c08ccea,DFW-DTW,2022-04-20,airline (-0.38); basic economy fare type (+0.09),airline (-1.66); basic economy fare type (-0.14)
a30d39081197174ec7cc39a2b7d86fdc,ATL-LGA,2022-05-05,this route's typical pattern (+0.21); trip distance (-0.20),how far out this is from departure (+0.52); airline (+0.33)
82c530c895253c811e6d44c4687be845,BOS-MIA,2022-04-19,how far out this is from departure (+0.36); airline (+0.27),this route's typical pattern (-0.48); how far out this is from departure (-0.32)
75c6e7d0159871b49fbcbdf15a5baa1f,SFO-ATL,2022-04-22,this route's typical pattern (+0.34); basic economy fare type (+0.10),airline (-0.21); basic economy fare type (-0.13)
be16790055d3d49e0b60bf7af5c6b1f2,BOS-CLT,2022-05-03,basic economy fare type (-0.56); this route's typical pattern (-0.26),basic economy fare type (+0.96); airline (+0.19)
4948155215374524892060a00b72fc69,OAK-CLT,2022-04-28,cabin/itinerary complexity (+0.52); this route's typical pattern (+0.44),basic economy fare type (-0.17); how far out this is from departure (+0.15)
480df461b4ea803d81dbb4440f4629c7,CLT-JFK,2022-04-22,airline (-0.38); this route's typical pattern (-0.15),basic economy fare type (-0.13); this route's typical pattern (+0.11)
8934054b095bd90412498b5549291c59,JFK-LAX,2022-05-03,this route's typical pattern (-0.35); how far out this is from departure (-0.21),how far out this is from departure (+0.22); this route's typical pattern (-0.21)
1ab268187c23be78977c02082851f72b,DTW-ORD,2022-05-04,this route's typical pattern (-0.49); trip distance (-0.23),airline (+0.24); how far out this is from departure (+0.21)
fee2e4193a64ce35b3174a2b3b9fb0e4,ATL-LGA,2022-05-03,airline (-0.24); day-of-week pattern (-0.21),how far out this is from departure (+0.36); basic economy fare type (-0.10)
7c6fccf192b3e3dd31a92be7f039555b,BOS-LGA,2022-05-01,day-of-week pattern (+0.31); airline (-0.22),how far out this is from departure (+0.41); airline (+0.15)
7c34157ab305e4334e2152a2bcc60388,LAX-DTW,2022-04-27,this route's typical pattern (+0.24); airline (+0.23),airline (-0.19); basic economy fare type (-0.13)
4902b3d1436dcd194d17e9d6d9675ea2,SFO-EWR,2022-05-03,this route's typical pattern (+0.46); trip distance (+0.32),how far out this is from departure (+0.25); this route's typical pattern (+0.16)
389290f766b02ff27cc9742b9410facd,MIA-PHL,2022-04-25,this route's typical pattern (+0.53); day-of-week pattern (-0.14),airline (-0.27); basic economy fare type (-0.20)
2f000941c018cd75bdb168aa5d11bd5f,EWR-DTW,2022-04-21,this route's typical pattern (-0.26); airline (-0.24),this route's typical pattern (+0.50); how far out this is from departure (+0.33)
1a9843c7891d83d315b022075ba1f28c,PHL-BOS,2022-05-03,basic economy fare type (-0.69); trip distance (-0.19),basic economy fare type (+0.90); how far out this is from departure (-0.11)
ba616fbcff1dd46a38eb483d91ea2b3b,SFO-CLT,2022-05-04,this route's typical pattern (+0.50); airline (+0.32),how far out this is from departure (+0.25); airline (-0.20)
71dfc61204beaf69a1c4141333fea85e,EWR-SFO,2022-04-25,airline (+0.58); this route's typical pattern (+0.32),airline (+0.28); this route's typical pattern (+0.23)
b5ce8b6ee8303cd4e665f8cce01e32d3,SFO-IAD,2022-04-24,this route's typical pattern (+0.20); day-of-week pattern (+0.18),basic economy fare type (-0.17); airline (+0.15)
1a1f2a2ff1413e7a5b63bde36ec9a7fa,MIA-DFW,2022-04-25,cabin/itinerary complexity (-0.19); airline (+0.17),airline (+0.15); basic economy fare type (-0.11)
56ffdb9115aa5bb9b7ad7108518ed684,MIA-EWR,2022-04-19,airline (-0.38); how far out this is from departure (-0.33),this route's typical pattern (-0.22); basic economy fare type (-0.17)
